TimeID,Hour24,Hour12,Minute,Second,AMPM,FullTime24,FullTime12,TimeOfDay
558,0,12,5,58,AM,0:05:58,12:05:58 AM,Night
559,0,12,5,59,AM,0:05:59,12:05:59 AM,Night
600,0,12,6,0,AM,0:06:00,12:06:00 AM,Night
601,0,12,6,1,AM,0:06:01,12:06:01 AM,Night
602,0,12,6,2,AM,0:06:02,12:06:02 AM,Night
603,0,12,6,3,AM,0:06:03,12:06:03 AM,Night
604,0,12,6,4,AM,0:06:04,12:06:04 AM,Night
605,0,12,6,5,AM,0:06:05,12:06:05 AM,Night
606,0,12,6,6,AM,0:06:06,12:06:06 AM,Night
607,0,12,6,7,AM,0:06:07,12:06:07 AM,Night
608,0,12,6,8,AM,0:06:08,12:06:08 AM,Night
609,0,12,6,9,AM,0:06:09,12:06:09 AM,Night
610,0,12,6,10,AM,0:06:10,12:06:10 AM,Night
611,0,12,6,11,AM,0:06:11,12:06:11 AM,Night
612,0,12,6,12,AM,0:06:12,12:06:12 AM,Night
613,0,12,6,13,AM,0:06:13,12:06:13 AM,Night
614,0,12,6,14,AM,0:06:14,12:06:14 AM,Night
615,0,12,6,15,AM,0:06:15,12:06:15 AM,Night
616,0,12,6,16,AM,0:06:16,12:06:16 AM,Night
617,0,12,6,17,AM,0:06:17,12:06:17 AM,Night
618,0,12,6,18,AM,0:06:18,12:06:18 AM,Night
619,0,12,6,19,AM,0:06:19,12:06:19 AM,Night
620,0,12,6,20,AM,0:06:20,12:06:20 AM,Night
621,0,12,6,21,AM,0:06:21,12:06:21 AM,Night
622,0,12,6,22,AM,0:06:22,12:06:22 AM,Night
623,0,12,6,23,AM,0:06:23,12:06:23 AM,Night
624,0,12,6,24,AM,0:06:24,12:06:24 AM,Night
625,0,12,6,25,AM,0:06:25,12:06:25 AM,Night
626,0,12,6,26,AM,0:06:26,12:06:26 AM,Night
627,0,12,6,27,AM,0:06:27,12:06:27 AM,Night
628,0,12,6,28,AM,0:06:28,12:06:28 AM,Night
629,0,12,6,29,AM,0:06:29,12:06:29 AM,Night
630,0,12,6,30,AM,0:06:30,12:06:30 AM,Night
631,0,12,6,31,AM,0:06:31,12:06:31 AM,Night
632,0,12,6,32,AM,0:06:32,12:06:32 AM,Night
633,0,12,6,33,AM,0:06:33,12:06:33 AM,Night
634,0,12,6,34,AM,0:06:34,12:06:34 AM,Night
635,0,12,6,35,AM,0:06:35,12:06:35 AM,Night
636,0,12,6,36,AM,0:06:36,12:06:36 AM,Night
637,0,12,6,37,AM,0:06:37,12:06:37 AM,Night
638,0,12,6,38,AM,0:06:38,12:06:38 AM,Night
639,0,12,6,39,AM,0:06:39,12:06:39 AM,Night
640,0,12,6,40,AM,0:06:40,12:06:40 AM,Night
641,0,12,6,41,AM,0:06:41,12:06:41 AM,Night
642,0,12,6,42,AM,0:06:42,12:06:42 AM,Night
643,0,12,6,43,AM,0:06:43,12:06:43 AM,Night
644,0,12,6,44,AM,0:06:44,12:06:44 AM,Night
645,0,12,6,45,AM,0:06:45,12:06:45 AM,Night
646,0,12,6,46,AM,0:06:46,12:06:46 AM,Night
647,0,12,6,47,AM,0:06:47,12:06:47 AM,Night
648,0,12,6,48,AM,0:06:48,12:06:48 AM,Night
649,0,12,6,49,AM,0:06:49,12:06:49 AM,Night
650,0,12,6,50,AM,0:06:50,12:06:50 AM,Night
651,0,12,6,51,AM,0:06:51,12:06:51 AM,Night
652,0,12,6,52,AM,0:06:52,12:06:52 AM,Night
653,0,12,6,53,AM,0:06:53,12:06:53 AM,Night
654,0,12,6,54,AM,0:06:54,12:06:54 AM,Night
655,0,12,6,55,AM,0:06:55,12:06:55 AM,Night
656,0,12,6,56,AM,0:06:56,12:06:56 AM,Night
657,0,12,6,57,AM,0:06:57,12:06:57 AM,Night
658,0,12,6,58,AM,0:06:58,12:06:58 AM,Night
659,0,12,6,59,AM,0:06:59,12:06:59 AM,Night
700,0,12,7,0,AM,0:07:00,12:07:00 AM,Night
